-3.1700, 3.2810e+08,
-2.9324, 3.3710e+08,
-2.6948, 3.4420e+08,
-2.4573, 3.4990e+08,
-2.2197, 3.5460e+08,
-1.9821, 3.5920e+08,
-1.7445, 3.6440e+08,
-1.5070, 3.7010e+08,
-1.2694, 3.7550e+08,
-1.0318, 3.8020e+08,
-0.7942, 3.8410e+08,
-0.5567, 3.8700e+08,
-0.3191, 3.8890e+08,
-0.0815, 3.8980e+08,
0.1561, 3.8970e+08,
0.3936, 3.8840e+08,
0.6312, 3.8620e+08,
0.8688, 3.8300e+08,
1.1064, 3.7880e+08,
1.5815, 3.6830e+08,
1.8191, 3.6270e+08,
2.0567, 3.5770e+08,
2.2942, 3.5320e+08,
2.5318, 3.4830e+08,
2.7694, 3.4210e+08,
3.0070, 3.3450e+08,
3.2445, 3.2470e+08,
3.4821, 3.1250e+08,
3.7197, 2.9790e+08,
3.9573, 2.8100e+08,
4.1948, 2.6170e+08,
4.4324, 2.4010e+08,
4.6700, 2.1640e+08,
