y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.60189,2.48162,0.120271
0,2240,2.93252,2.81463,0.117884
0,2240,2.63565,2.5217,0.11395
0,2240,2.72984,2.6101,0.119741
0,2240,2.9309,2.80951,0.121394
0,2240,2.54423,2.41433,0.1299
0,2240,2.68973,2.57236,0.11737
0,2240,2.80357,2.68127,0.122302
0,2240,2.86338,2.7484,0.11498
0,2240,2.69441,2.57741,0.116996
0,2240,2.55876,2.43566,0.123103
0,2240,2.54635,2.43137,0.114974
0,2240,2.63092,2.51569,0.115227
0,2240,2.72657,2.60481,0.121768
0,2240,2.72867,2.6174,0.111263
0,2240,3.26289,3.14802,0.114868
0,2240,2.63175,2.51648,0.11527
0,2240,2.57105,2.44915,0.121893
0,2240,2.79801,2.6804,0.117609
0,2240,2.63252,2.49989,0.132621
0,2240,2.51683,2.4008,0.116026
0,2240,2.75813,2.63798,0.120152
0,2240,2.57153,2.45848,0.113059
0,2240,2.85854,2.74206,0.116489
0,2240,2.43712,2.3103,0.126814
0,2240,2.76441,2.64491,0.119503
0,2240,2.37375,2.25577,0.117979
0,2240,2.45367,2.32772,0.125948
0,2240,2.45969,2.34559,0.114093
0,2240,2.69616,2.58113,0.115027
0,2240,2.94249,2.82351,0.118987
0,2240,2.59378,2.47263,0.121157
0,2240,2.8874,2.76001,0.127394
0,2240,3.09259,2.97787,0.11472
0,2240,2.42728,2.30003,0.127247
0,2240,2.70641,2.58081,0.125596
0,2240,2.78753,2.66208,0.125453
0,2240,2.88849,2.77114,0.117346
0,2240,2.29433,2.17408,0.120251
0,2240,2.61877,2.50422,0.114545
0,2240,2.436,2.3205,0.115506
0,2240,3.0153,2.89223,0.123073
0,2240,2.62402,2.50032,0.123704
0,2240,3.13384,3.01656,0.117281
0,2240,2.46791,2.34845,0.119459
0,2240,2.52622,2.41533,0.110891
0,2240,2.75439,2.64501,0.109379
0,2240,2.63716,2.51022,0.126934
0,2240,2.93123,2.80975,0.12148
0,2240,2.50248,2.38383,0.118648
0,2240,2.75818,2.64092,0.117257
0,2240,2.72139,2.60632,0.115071
0,2240,2.8943,2.77683,0.117479
0,2240,2.79155,2.67364,0.117908
0,2240,2.70114,2.59059,0.110556
0,2240,2.67709,2.55591,0.121179
0,2240,2.74695,2.6283,0.118643
0,2240,2.63808,2.52063,0.117453
0,2240,2.64708,2.5345,0.112588
0,2240,2.92352,2.80633,0.117183
0,2240,2.85953,2.73392,0.12561
0,2240,2.64946,2.53069,0.118768
0,2240,2.64954,2.53413,0.115407
0,2240,2.61122,2.48896,0.122266
0,2240,2.95327,2.83542,0.117846
0,2240,2.59321,2.47644,0.116767
0,2240,2.63426,2.517,0.117252
0,2240,3.05862,2.93578,0.122848
0,2240,2.92773,2.81214,0.115585
0,2240,3.01777,2.89617,0.121598
0,2240,2.80205,2.6787,0.123351
0,2240,2.5599,2.4363,0.123605
0,2240,2.7082,2.58913,0.119073
0,2240,2.65712,2.54115,0.115965
0,2240,2.86396,2.74825,0.115708
0,2240,2.75774,2.64008,0.117663
0,2240,2.60114,2.48222,0.11892
0,2240,2.68545,2.55945,0.126003
0,2240,3.02022,2.90506,0.115165
0,2240,2.51308,2.3937,0.119375
