y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.35992,2.26205,0.0978744
0,2240,2.18029,2.11043,0.0698672
0,2240,2.34976,2.28797,0.061791
0,2240,2.64018,2.562,0.0781822
0,2240,1.92792,1.85512,0.0727917
0,2240,2.6184,2.55361,0.064785
0,2240,2.09445,2.03616,0.0582839
0,2240,2.29074,2.20366,0.0870792
0,2240,2.33471,2.27489,0.0598156
0,2240,2.75802,2.69624,0.0617818
0,2240,1.83296,1.78258,0.0503821
0,2240,2.39109,2.32439,0.0667005
0,2240,2.34068,2.28544,0.0552477
0,2240,2.18629,2.1348,0.0514938
0,2240,2.07311,2.00223,0.0708829
0,2240,2.67931,2.6075,0.0718088
0,2240,1.95248,1.87356,0.078929
0,2240,3.39926,3.33394,0.0653224
0,2240,2.72869,2.65818,0.0705098
0,2240,2.49545,2.43859,0.0568566
0,2240,2.64726,2.57484,0.0724209
0,2240,2.16061,2.09282,0.0677849
0,2240,1.7336,1.64859,0.085013
0,2240,3.36137,3.3019,0.0594672
0,2240,2.77635,2.70192,0.0744283
0,2240,2.64741,2.5791,0.0683027
0,2240,1.90868,1.82206,0.0866223
0,2240,1.80183,1.73364,0.0681917
0,2240,2.6707,2.6106,0.0601031
0,2240,1.97442,1.9007,0.0737244
0,2240,1.61259,1.54618,0.0664049
0,2240,2.51083,2.46152,0.04931
0,2240,2.58951,2.52398,0.0655326
0,2240,2.374,2.3212,0.0527953
0,2240,2.02484,1.9455,0.079335
0,2240,2.45538,2.38725,0.0681392
0,2240,2.33375,2.25127,0.0824753
0,2240,2.10232,2.04134,0.0609782
0,2240,2.34019,2.28703,0.0531637
0,2240,2.76376,2.71128,0.0524781
0,2240,2.46425,2.40175,0.062502
0,2240,2.71871,2.65717,0.0615384
0,2240,2.30157,2.24738,0.0541971
0,2240,1.93928,1.87416,0.0651238
0,2240,3.16993,3.12,0.0499238
0,2240,2.16138,2.09961,0.0617686
0,2240,1.82181,1.76309,0.0587192
0,2240,2.44785,2.37312,0.0747251
0,2240,2.6169,2.54854,0.0683674
0,2240,1.72484,1.65239,0.0724516
0,2240,3.1847,3.11327,0.0714374
0,2240,2.75926,2.68303,0.0762373
0,2240,2.16872,2.10914,0.0595833
0,2240,2.23577,2.17322,0.0625455
0,2240,2.08912,2.02737,0.0617561
0,2240,3.40129,3.34935,0.0519303
0,2240,1.95823,1.89428,0.0639511
0,2240,2.40933,2.34601,0.0633196
0,2240,2.14663,2.0637,0.0829277
0,2240,2.3395,2.27335,0.0661487
0,2240,2.13005,2.06985,0.0601981
0,2240,1.99076,1.92291,0.0678507
0,2240,2.64343,2.57443,0.0690052
0,2240,2.29638,2.21274,0.0836323
0,2240,2.47116,2.40919,0.0619716
0,2240,2.10056,2.042,0.0585611
0,2240,1.87914,1.80631,0.0728283
0,2240,2.19162,2.14245,0.049172
0,2240,3.38788,3.32034,0.0675407
0,2240,2.00335,1.95234,0.0510104
0,2240,1.77094,1.70835,0.0625907
0,2240,3.00542,2.92638,0.0790388
0,2240,2.55589,2.46956,0.0863254
0,2240,1.43049,1.36171,0.0687872
0,2240,3.05682,2.98215,0.0746778
0,2240,2.80319,2.7299,0.0732938
0,2240,1.62293,1.54397,0.0789573
0,2240,2.21381,2.15383,0.0599816
0,2240,2.88482,2.79615,0.0886725
0,2240,3.10592,3.03746,0.0684616
0,2240,2.66654,2.58812,0.078418
0,2240,1.89544,1.84787,0.0475654
0,2240,1.36814,1.30174,0.0664043
0,2240,1.99206,1.93973,0.0523359
0,2240,1.984,1.92788,0.05612
0,2240,2.0092,1.94237,0.0668323
0,2240,2.45361,2.39739,0.0562242
0,2240,1.80708,1.72429,0.0827871
0,2240,2.52736,2.45926,0.0681045
0,2240,2.38968,2.32182,0.0678544
0,2240,2.06124,1.99927,0.0619784
0,2240,1.84279,1.77343,0.0693628
0,2240,3.38858,3.33693,0.0516475
0,2240,1.84785,1.79269,0.0551672
0,2240,2.33719,2.2692,0.0679907
0,2240,2.31273,2.25431,0.0584116
0,2240,2.50613,2.43052,0.0756073
0,2240,2.22048,2.15221,0.0682706
0,2240,2.43589,2.38197,0.0539268
0,2240,1.95518,1.90095,0.0542333
0,2240,2.32146,2.24114,0.0803196
0,2240,2.66963,2.616,0.0536355
0,2240,2.85983,2.79605,0.0637837
0,2240,2.61086,2.55686,0.0539943
0,2240,2.14436,2.08089,0.0634641
0,2240,2.22712,2.16396,0.0631611
0,2240,2.284,2.19352,0.0904821
0,2240,1.54777,1.47119,0.0765764
0,2240,1.78631,1.71917,0.0671416
0,2240,2.59729,2.52338,0.0739082
0,2240,2.30937,2.23229,0.0770811
0,2240,2.16902,2.10609,0.0629268
0,2240,1.45752,1.38413,0.0733928
0,2240,2.17672,2.10454,0.072189
0,2240,2.64115,2.55257,0.0885812
0,2240,2.05271,1.99678,0.0559364
0,2240,2.17391,2.11646,0.0574545
0,2240,2.29874,2.23826,0.0604777
0,2240,2.0107,1.93926,0.0714354
0,2240,1.98193,1.91469,0.0672388
0,2240,2.07563,2.00278,0.0728532
0,2240,2.22334,2.15094,0.0724024
0,2240,2.1018,2.04645,0.0553435
0,2240,2.89469,2.81757,0.0771178
0,2240,2.35856,2.27974,0.0788272
0,2240,1.89991,1.84503,0.0548787
0,2240,2.43522,2.36871,0.066515
0,2240,2.11255,2.03729,0.0752657
0,2240,2.85738,2.77309,0.0842874
0,2240,2.57908,2.50675,0.0723274
0,2240,2.25222,2.16802,0.0842016
0,2240,2.96965,2.89636,0.073295
0,2240,1.90691,1.84846,0.0584467
0,2240,2.15306,2.0936,0.0594619
0,2240,1.38391,1.33259,0.0513198
0,2240,2.32743,2.27682,0.0506069
0,2240,1.92587,1.85948,0.0663907
0,2240,2.54858,2.48387,0.0647048
0,2240,2.35276,2.27984,0.0729277
0,2240,2.13022,2.06941,0.0608166
