y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.06117,1.94872,0.112452
0,2240,2.43356,2.32405,0.10951
0,2240,3.6246,3.51734,0.107269
0,2240,2.73656,2.64479,0.0917681
0,2240,2.26376,2.15233,0.111435
0,2240,2.40089,2.26474,0.136158
0,2240,2.11152,2.00086,0.110663
0,2240,2.84124,2.70657,0.134674
0,2240,2.741,2.63555,0.105449
0,2240,2.14761,2.04398,0.10363
0,2240,3.4727,3.36543,0.107275
0,2240,3.48669,3.36779,0.118899
0,2240,1.74937,1.61874,0.13063
0,2240,2.18537,2.07734,0.108027
0,2240,2.79798,2.64462,0.153359
0,2240,4.02321,3.87513,0.148075
0,2240,2.83255,2.71402,0.118529
0,2240,3.14561,3.00965,0.135963
0,2240,2.75011,2.61854,0.131574
0,2240,2.39638,2.27493,0.121451
0,2240,3.74145,3.59242,0.14903
0,2240,2.36742,2.22872,0.138693
0,2240,3.28814,3.15808,0.130061
0,2240,2.06946,1.96792,0.10154
0,2240,2.62601,2.51991,0.106107
0,2240,1.7293,1.60997,0.119331
0,2240,2.18937,2.08613,0.103235
0,2240,2.92956,2.78734,0.142213
0,2240,3.88581,3.75698,0.128834
0,2240,2.32654,2.21886,0.107678
0,2240,1.89688,1.7785,0.118386
0,2240,2.60054,2.46455,0.135995
0,2240,3.5698,3.45313,0.116666
0,2240,1.99065,1.86455,0.126093
0,2240,2.07432,1.97477,0.0995567
0,2240,2.50285,2.35371,0.149145
0,2240,3.42401,3.30573,0.118273
0,2240,3.08666,2.9656,0.121061
0,2240,2.76938,2.65556,0.113814
0,2240,3.29648,3.19913,0.0973448
0,2240,2.3178,2.19082,0.126972
0,2240,3.02765,2.90688,0.120771
0,2240,2.50661,2.39936,0.107248
0,2240,3.38204,3.26854,0.113501
0,2240,2.10031,1.96399,0.136315
0,2240,2.57656,2.46307,0.113494
0,2240,3.66004,3.54022,0.119821
0,2240,2.28095,2.14768,0.133267
0,2240,3.18288,3.07074,0.112138
0,2240,2.76759,2.65467,0.112917
0,2240,3.14319,3.00728,0.135912
0,2240,2.98071,2.86466,0.116053
0,2240,2.95063,2.82395,0.126679
0,2240,2.58081,2.46266,0.118146
0,2240,2.19035,2.06932,0.121036
0,2240,2.83672,2.7224,0.114317
0,2240,2.77078,2.68031,0.0904737
0,2240,1.97687,1.85843,0.118436
0,2240,2.56678,2.44935,0.117425
0,2240,2.6058,2.46194,0.143855
0,2240,2.98659,2.85928,0.12731
0,2240,2.35998,2.23338,0.126591
0,2240,2.18763,2.05495,0.13268
0,2240,3.42161,3.32003,0.101583
0,2240,2.82322,2.69814,0.12508
0,2240,2.63836,2.53324,0.105116
0,2240,3.00355,2.87706,0.126498
0,2240,2.19117,2.10746,0.0837079
0,2240,2.37388,2.21559,0.158285
0,2240,2.41942,2.30267,0.116749
0,2240,4.00339,3.88076,0.122633
